Place,Name,BirthDate,Sex,State,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,Natasha Andrews,,F,NL,Sub-Juniors,Raw,141.74,84+,130,135,142.5,142.5,50,55.5,58,58,110,115,125,125,325.5,SBD
1,Olivia Hailey,,F,NL,Juniors,Raw,62.77,63,120,127.5,132.5,132.5,62.5,65,67.5,67.5,145,152.5,157.5,157.5,357.5,SBD
1,Stef Kean,,F,NL,Open,Raw,51.43,52,145,155,163,163,67.5,72.5,77.5,77.5,150,165,-182.5,165,405.5,SBD
1,Maria Rendell,,F,NL,Open,Raw,67.8,69,132.5,137.5,139,139,72.5,77.5,79,79,142.5,152.5,-157.5,152.5,370.5,SBD
1,Chelsea Pink,,F,NL,Open,Raw,73.34,76,-120,125,130,130,57.5,62.5,65,65,132.5,142.5,-150,142.5,337.5,SBD
1,Leah Gregory,,F,NL,Open,Raw,100.59,84+,192.5,200,205.5,205.5,82.5,87.5,90,90,160,170,177.5,177.5,473,SBD
2,Katie Hamlyn,,F,NL,Open,Raw,105.6,84+,137.5,145,150,150,67.5,-72.5,-72.5,67.5,142.5,150,160,160,377.5,SBD
3,Alexa Foley,,F,NL,Open,Raw,116.09,84+,140,-147.5,150,150,70,-75,-75,70,140,147.5,157.5,157.5,377.5,SBD
1,O'Brien Christa,,F,NL,Masters 1,Raw,74.81,76,105,116.5,120,120,47.5,50,52.5,52.5,148,158,-163,158,330.5,SBD
1,Fronia Durnfors,,F,NL,Masters 1,Raw,83.5,84,92.5,102.5,110,110,50,52.5,-55,52.5,115,127.5,137.5,137.5,300,SBD
2,Nadine Barter,,F,NL,Masters 1,Raw,81.38,84,92.5,100,105,105,52.5,57.5,-60,57.5,100,110,115,115,277.5,SBD
1,Karen Mahoney,,F,NL,Masters 1,Raw,117.92,84+,-130,-130,130,130,60,-62.5,-62.5,60,147.5,152.5,-157.5,152.5,342.5,SBD
2,Kim Walsh,,F,NL,Masters 1,Raw,103.5,84+,120,-125,130,130,60,-65,-65,60,137.5,147.5,150,150,340,SBD
1,Anne Beaumaster,,F,NL,Masters 2,Raw,62.92,63,85,87.5,-90,87.5,35,37.5,-40,37.5,110,-115,-115,110,235,SBD
1,Corrina Fahey,,F,NL,Masters 2,Raw,75.19,76,105,116,-117.5,116,47.5,50,52.5,52.5,125,135,137.5,137.5,306,SBD
2,Colleen Bolger,,F,NL,Masters 2,Raw,74.92,76,105,115.5,116.5,116.5,37.5,40,-42.5,40,115,125,-130,125,281.5,SBD
1,Donna Foote,,F,NL,Masters 2,Raw,92.06,84+,120,125,130,130,55,57.5,60,60,140,147.5,152.5,152.5,342.5,SBD
2,Linda Burns,,F,NL,Masters 2,Raw,90.83,84+,110,117.5,125,125,60,62.5,65,65,120,130,140,140,330,SBD
3,Alison Mercer,,F,NL,Masters 2,Raw,103.15,84+,102.5,110,117.5,117.5,45,47.5,-50,47.5,112.5,120,125,125,290,SBD
1,Debbie Northover,,F,NL,Masters 3,Raw,61.95,63,50,-55,55,55,36.5,38,38.5,38.5,82.5,86.5,89.5,89.5,183,SBD
