Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Age,BirthDate
1,B. Garrett Williams,M,B,MR-O,120,Raw,1983,MD,119,,,,,162.5,172.5,-177.5,172.5,,,,,172.5,,
1,Emma Westerhold,F,SBD,F-Jr,63,Single-ply,2000,MD,62.7,-175,-175,175,175,92.5,100,-105,100,132.5,145,,145,420,,
1,Arielle Hudson,F,SBD,F-Jr,69,Single-ply,2001,FL,68.7,150,-160,-160,150,65,70,77.5,77.5,120,135,142.5,142.5,370,,
1,Ivette Ayala,F,SBD,F-Jr,76,Single-ply,1999,CA,73.4,145,152.5,162.5,162.5,52.5,-60,-60,52.5,125,-140,-140,125,340,,
1,Lauren McDonald,F,SBD,FR-Jr,57,Raw,1998,MD,56,70,75,85,85,37.5,42.5,45,45,85,-95,-95,85,215,,
1,Kyra Inston,F,SBD,FR-Jr,69,Raw,2000,DC,65.7,122.5,-130,130,130,55,60,-62.5,60,140,150,157.5,157.5,347.5,,
1,Alicia Kunc,F,SBD,FR-M1a,69,Raw,1979,MD,67,57.5,65,-72.5,65,42.5,45,50,50,82.5,87.5,92.5,92.5,207.5,,
1,Jennifer Stimson,F,SBD,FR-M1b,84,Raw,1975,MD,82.4,125,127.5,130,130,-67.5,67.5,-72.5,67.5,132.5,137.5,145,145,342.5,,
1,Alysa Stoffregen,F,SBD,FR-M2b,76,Raw,1963,MD,74.6,117.5,122.5,127.5,127.5,70,-75,-75,70,120,125,130,130,327.5,,
1,Lenore Gelb,F,SBD,FR-M4a,69,Raw,1950,MD,67.6,65,70,72.5,72.5,45,47.5,-50,47.5,110,117.5,122.5,122.5,242.5,,
1,Linda Gorham,F,SBD,FR-M4a,84,Raw,1951,MD,83.5,87.5,92.5,100,100,55,57.5,60,60,125,132.5,137.5,137.5,297.5,,
1,Lilian Droney,F,SBD,FR-O,52,Raw,2007,MD,49.4,42.5,50,55,55,22.5,25,30,30,42.5,52.5,60,60,145,,
1,Rachel Kiefer,F,SBD,FR-O,69,Raw,1984,MD,67.2,120,127.5,132.5,132.5,85,90,-92.5,90,140,145,-150,145,367.5,,
1,Jennifer Stimson,F,SBD,FR-O,84,Raw,1975,MD,82.4,125,127.5,130,130,-67.5,67.5,-72.5,67.5,132.5,137.5,145,145,342.5,,
1,Lilian Droney,F,SBD,FR-T1,52,Raw,2007,MD,49.4,42.5,50,55,55,22.5,25,30,30,42.5,52.5,60,60,145,,
1,Leah DeMarco,F,SBD,FR-T1,63,Raw,2007,MD,61.8,65,75,82.5,82.5,30,35,42.5,42.5,65,75,85,85,210,,
1,Anna O'Leary,F,SBD,FR-T1,84,Raw,2006,MD,83.4,-82.5,82.5,90,90,52.5,55,60,60,97.5,105,110,110,260,,
1,Macey Nichols,F,SBD,FR-T2,63,Raw,2005,MD,60.4,77.5,85,-92.5,85,32.5,-37.5,37.5,37.5,105,115,120,120,242.5,,
1,Morgan Thayer,F,SBD,FW-Jr,69,Wraps,1999,MD,65.8,120,127.5,-132.5,127.5,60,65,-70,65,105,110,115,115,307.5,,
1,Kensington Maizels,F,SBD,FR-Y2,52,Raw,2009,MD,47.5,82.5,85,92.5,92.5,42.5,51,,51,72.5,82.5,92.5,92.5,236,,
1,Alyssa Domboski,F,SBD,FR-Y3,63,Raw,2009,MD,58.9,42.5,-52.5,52.5,52.5,20,25,30,30,50,55,62.5,62.5,145,,
1,Charlotte Bourgeois,F,SBD,F-T3,69,Single-ply,2002,WA,68.6,125,137.5,142.5,142.5,42.5,52.5,55,55,125,132.5,142.5,142.5,340,,
2,Tenney Shaughnessy,F,SBD,F-T3,69,Single-ply,2003,VA,63.9,102.5,-112.5,117.5,117.5,-60,60,67.5,67.5,117.5,125,-140,125,310,,
1,Lue Yang,M,SBD,M-T3,66,Single-ply,2002,MN,62,185,-200,-200,185,95,102.5,-110,102.5,160,-175,180,180,467.5,,
1,Michael Bronder,M,SBD,M-Jr,74,Single-ply,2001,VA,72.6,165,175,-200,175,125,132.5,-145,132.5,165,-187.5,-215,165,472.5,,
1,Jacob Schwisow,M,SBD,M-Jr,83,Single-ply,1999,MD,82.2,242.5,257.5,-272.5,257.5,145,165,-170,165,207.5,-225,-225,207.5,630,,
1,Jacob Cho,M,SBD,M-T3,93,Single-ply,2002,TX,88.6,242.5,257.5,265,265,142.5,-152.5,-152.5,142.5,225,242.5,-260,242.5,650,,
DQ,Jameson Brodeur,M,SBD,M-Jr,93,Single-ply,2001,MD,89.1,247.5,267.5,277.5,277.5,175,187.5,-192.5,187.5,-247.5,-257.5,-257.5,,,,
1,Blayne Butler,M,SBD,M-Jr,105,Single-ply,2000,WV,99.5,260,-280,290,290,177.5,187.5,200,200,260,-277.5,-277.5,260,750,,
1,Tyler Maizels,M,SBD,MR-Jr,74,Raw,1998,MD,73,182.5,-205,-205,182.5,92.5,100,110,110,200,215,-227.5,215,507.5,,
1,John Warner,M,SBD,MR-Jr,105,Raw,2001,MD,99.7,215,225,230,230,125,130,-132.5,130,230,240,245,245,605,,
1,Nathan Gorham,M,SBD,MR-M1a,120,Raw,1977,MD,117.5,290,-310,327.5,327.5,195,205,210,210,250,277.5,-287.5,277.5,815,,
1,Kenneth Wright,M,SBD,MR-M1b,93,Raw,1973,MD,91.4,130,140,-150,140,105,115,-122.5,115,190,200,220,220,475,,
1,Paul Jeng,M,SBD,MR-M2b,83,Raw,1964,MD,82.6,142.5,152.5,160,160,120,130,-132.5,130,187.5,197.5,207.5,207.5,497.5,,
1,Alex Howe #1,M,SBD,MR-M3a,83,Raw,1957,MD,82,160,165,167.5,167.5,107.5,-112.5,-112.5,107.5,205,-210,-210,205,480,,
1,Oswald Singh,M,SBD,MR-M3b,74,Raw,1956,MD,72.6,-127.5,-127.5,127.5,127.5,82.5,87.5,90,90,142.5,155,165,165,382.5,,
1,Iain Burgess,M,SBD,MR-M4b,66,Raw,1944,MD,61.3,100,110,112.5,112.5,45,50,,50,115,120,-125,120,282.5,,
1,Scott Southworth,M,SBD,MR-O,83,Raw,1989,MD,80.8,167.5,180,185,185,120,-127.5,-127.5,120,207.5,215,220,220,525,,
2,Paul Jeng,M,SBD,MR-O,83,Raw,1964,MD,82.6,142.5,152.5,160,160,120,130,-132.5,130,187.5,197.5,207.5,207.5,497.5,,
1,Christopher Lane,M,SBD,MR-O,93,Raw,1986,MD,91.2,185,195,200,200,127.5,135,140,140,-227.5,242.5,260,260,600,,
