Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Age,BirthDate
1,John Sykes,M,B,MR-M,120,Raw,1965,MS,115.7,,,,,-145,-155,155,155,,,,,155,,
1,Steve LeMarié,M,D,M-M,105,Single-ply,1962,LA,96.4,,,,,,,,,262.5,282.5,-287.5,282.5,282.5,,
1,Misty Trosclair,F,SBD,FR-M,84+,Raw,1977,MS,98.3,110,122.5,-137.5,122.5,70,75,77.5,77.5,155,165,170,170,370,,
1,Melinda Farve,F,SBD,FR-O,57,Raw,1986,MS,54.8,82.5,87.5,-92.5,87.5,40,-42.5,-45,40,110,120,-127.5,120,247.5,,
1,Leiloni Davenport,F,SBD,FR-O,72,Raw,1995,MS,65.3,90,100,-105,100,45,47.5,-50,47.5,110,120,127.5,127.5,275,,
1,Sienna Woods,F,SBD,FR-O,84,Raw,1999,MS,77.2,-112.5,-117.5,117.5,117.5,65,72.5,-77.5,72.5,127.5,142.5,-157.5,142.5,332.5,,
1,Kenna Stuart,F,SBD,FR-T,72,Raw,2000,MS,64,90,100,-105,100,52.5,55,-57.5,55,110,125,-142.5,125,280,,
1,Mary Claire Dale,F,SBD,FR-T,84,Raw,2002,MS,81.7,120,135,137.5,137.5,57.5,-62.5,62.5,62.5,140,152.5,162.5,162.5,362.5,,
1,Temple Williamson,F,SBD,FR-Y,84,Raw,2009,MS,83,-55,55,60,60,32.5,35,37.5,37.5,65,70,75,75,172.5,,
1,Shelby Starks,F,SBD,F-T,47,Single-ply,2000,MS,43.3,-102.5,102.5,107.5,107.5,35,-45,45,45,120,130,140,140,292.5,,
2,Raleigh Grace Parker,F,SBD,F-T,47,Single-ply,2001,MS,46.8,102.5,107.5,-112.5,107.5,42.5,-45,-47.5,42.5,107.5,112.5,117.5,117.5,267.5,,
1,Kaitlyn Kirk,F,SBD,F-T,63,Single-ply,2000,MS,60.2,105,117.5,-127.5,117.5,57.5,-65,-65,57.5,107.5,115,-125,115,290,,
DQ,Bailee LeBlanc,F,SBD,F-T,72,Single-ply,2002,LA,66.8,120,130,-135,130,50,55,-57.5,55,-150,-150,-150,,,,
DQ,Breana Massey,F,SBD,F-T,84,Single-ply,2001,MS,72.3,-137.5,-137.5,-137.5,,45,47.5,-50,47.5,125,135,142.5,142.5,,,
1,Madisyn Herron,F,SBD,F-T,84+,Single-ply,2001,MS,173.5,245,255,275,275,102.5,-112.5,-112.5,102.5,165,177.5,187.5,187.5,565,,
1,Everett Daughtry,M,SBD,M-M,74,Single-ply,1974,MS,73.6,185,-195,195,195,120,-127.5,127.5,127.5,215,227.5,-235,227.5,550,,
1,Ted Longo,M,SBD,M-M,83,Single-ply,1963,MS,81.8,165,182.5,-190,182.5,107.5,112.5,-120,112.5,195,202.5,210,210,505,,
1,Nick Pridmore,M,SBD,M-O,66,Single-ply,2001,MS,65.1,185,195,-207.5,195,80,-85,-85,80,182.5,197.5,-212.5,197.5,472.5,,
1,Jacob Willard,M,SBD,M-O,83,Single-ply,2000,TX,78,-175,175,-195,175,100,-107.5,-107.5,100,197.5,-212.5,-212.5,197.5,472.5,,
1,Seth Gibson-Todd,M,SBD,M-O,105,Single-ply,2000,MS,101.1,215,227.5,235,235,125,137.5,145,145,225,240,255,255,635,,
1,Hunter Little,M,SBD,M-O,120,Single-ply,1999,MS,118,260,-272.5,-272.5,260,142.5,147.5,-150,147.5,237.5,252.5,260,260,667.5,,
1,Caleb Stephens,M,SBD,M-O,120+,Single-ply,1999,MS,121,250,-260,-260,250,122.5,-127.5,-127.5,122.5,207.5,227.5,-245,227.5,600,,
1,Rodney Taylor,M,SBD,MR-M,105,Raw,1968,MS,96.5,177.5,-185,-185,177.5,120,127.5,-130,127.5,160,170,180,180,485,,
