Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Age,BirthDate
1,Katie Rancer,F,B,FR-Jr,72,Raw,1998,NC,71.45,,,,,60,-67.5,-67.5,60.0,,,,,60,,
1,Tracy Cook,F,B,FR-M1b,72,Raw,1970,NC,69.94,,,,,80,85,90,90.0,,,,,90,,
2,Kimba Reams,F,B,FR-M1a,72,Raw,1976,SC,68.66,,,,,80,82.5,-87.5,82.5,,,,,82.5,,
1,Lori Wilson,F,B,FR-M1b,84+,Raw,1972,NC,120.96,,,,,107.5,115,-117.5,115.0,,,,,115,,
2,Sarah Johnson #6,F,B,FR-M1b,84+,Raw,1973,NC,111.12,,,,,67.5,-72.5,-72.5,67.5,,,,,67.5,,
DQ,Jacqueline Todd,F,B,FR-M2a,84+,Raw,1965,SC,121.46,,,,,67.5,72.5,77.5,77.5,,,,,,,
1,Tracy Cook,F,B,FR-O,72,Raw,1970,NC,69.94,,,,,80,85,90,90.0,,,,,90,,
2,Kimba Reams,F,B,FR-O,72,Raw,1976,SC,68.66,,,,,80,82.5,-87.5,82.5,,,,,82.5,,
1,Holli Mann,F,B,FR-O,84,Raw,1985,NC,74.18,,,,,62.5,65,-70,65.0,,,,,65,,
1,Lori Wilson,F,B,FR-O,84+,Raw,1972,NC,120.96,,,,,107.5,115,-117.5,115.0,,,,,115,,
2,Sarah Johnson #6,F,B,FR-O,84+,Raw,1973,NC,111.12,,,,,67.5,-72.5,-72.5,67.5,,,,,67.5,,
1,David Babb,M,B,MR-M1a,83,Raw,1978,NC,82.65,,,,,160,165,170,170.0,,,,,170,,
DQ,Eric Patton,M,B,MR-M2b,83,Raw,1962,SC,81.90,,,,,-135,-135,-135,,,,,,,,
1,Eric Andrews #2,M,B,MR-M2a,120,Raw,1968,NC,119.90,,,,,165,-175,-175,165.0,,,,,165,,
2,Tony Hennis,M,B,MR-M2a,120,Raw,1967,NC,117.75,,,,,-155,160,-165,160.0,,,,,160,,
1,David Riley,M,B,MR-M3a,93,Raw,1958,NC,91.60,,,,,125,130,132.5,132.5,,,,,132.5,,
1,Mike Jordan,M,B,MR-O,74,Raw,1990,NC,73.95,,,,,120,130,135,135.0,,,,,135,,
1,David Babb,M,B,MR-O,83,Raw,1978,NC,82.65,,,,,160,165,170,170.0,,,,,170,,
2,Michael Ware,M,B,MR-O,83,Raw,1989,SC,83.00,,,,,145,150,-160,150.0,,,,,150,,
1,Josh Leonard,M,B,MR-O,93,Raw,1983,NC,91.75,,,,,177.5,185,190,190.0,,,,,190,,
2,Derrick Moser,M,B,MR-O,93,Raw,1995,SC,90.95,,,,,130,135,-142.5,135.0,,,,,135,,
1,Justin Bailey,M,B,MR-O,120,Raw,1988,SC,111.90,,,,,190,205,217.5,217.5,,,,,217.5,,
2,Tony Hennis,M,B,MR-O,120,Raw,1967,NC,117.75,,,,,-155,160,-165,160.0,,,,,160,,
1,Eric Andrews #3,M,B,MR-T2,93,Raw,2001,NC,91.15,,,,,92.5,97.5,102.5,102.5,,,,,102.5,,
DQ,Jonathan Todd,M,B,MR-Y3,66,Raw,2006,SC,64.95,,,,,-30,-30,32.5,32.5,,,,,,,
1,Arielle Patra,F,SBD,FR-Jr,57,Raw,1997,NC,56.25,110,117.5,-127.5,117.5,60,62.5,-67.5,62.5,132.5,137.5,-145,137.5,317.5,,
1,Gabrielle Dardis,F,SBD,FR-Jr,63,Raw,1995,NC,60.15,100,105,-110,105.0,60,65,-70,65.0,117.5,125,127.5,127.5,297.5,,
2,Lanie Isenhour,F,SBD,FR-Jr,63,Raw,1999,NC,60.72,80,87.5,92.5,92.5,45,50,52.5,52.5,110,117.5,125,125.0,270,,
1,Ashley Coursey,F,SBD,FR-Jr,72,Raw,1995,GA,70.30,122.5,-132.5,-137.5,122.5,65,-67.5,-67.5,65.0,147.5,160,165,165.0,352.5,,
2,Katie Rancer,F,SBD,FR-Jr,72,Raw,1998,NC,71.45,-92.5,95,100,100.0,60,-67.5,-67.5,60.0,97.5,107.5,115,115.0,275,,
1,Zoe McDaniel,F,SBD,FR-Jr,84+,Raw,1999,NC,86.28,112.5,120,127.5,127.5,62.5,67.5,-70,67.5,127.5,135,142.5,142.5,337.5,,
1,Lisa Womble,F,SBD,FR-M1a,57,Raw,1977,NC,55.36,97.5,102.5,-105,102.5,52.5,57.5,-60,57.5,122.5,135,140,140.0,300,,
1,Michele Moe,F,SBD,FR-M2a,63,Raw,1969,NC,62.10,95,102.5,107.5,107.5,60,62.5,65,65.0,130,135,140,140.0,312.5,,
2,Carolyn Bellion,F,SBD,FR-M1a,63,Raw,1975,NC,59.64,67.5,70,75,75.0,-50,50,-55,50.0,87.5,92.5,97.5,97.5,222.5,,
