Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Age,BirthDate
1,Nadia Khayat,F,B,FR-O,57,Raw,2001,WI,54.8,,,,,65,67.5,-72.5,67.5,,,,,67.5,,
1,Tammy Talo,F,SBD,FR-O,47,Raw,1969,WI,45.8,67.5,72.5,-75,72.5,45,50,-55,50,87.5,100,-117.5,100,222.5,,
1,Jamie Skowronek,F,SBD,FR-O,63,Raw,1993,WI,60.8,-77.5,85,-90,85,45,-47.5,-47.5,45,105,110,117.5,117.5,247.5,,
2,Mary Ebben,F,SBD,FR-Y,63,Raw,2007,WI,61.1,65,72.5,77.5,77.5,40,47.5,50,50,90,102.5,107.5,107.5,235,,
1,Sara Lathrop,F,SBD,FR-O,72,Raw,1971,WI,70.5,92.5,100,-105,100,52.5,55,-57.5,55,125,132.5,-137.5,132.5,287.5,,
2,Margaret Nyland,F,SBD,FR-O,72,Raw,1970,WI,68.3,72.5,80,87.5,87.5,40,42.5,47.5,47.5,110,117.5,125,125,260,,
1,Tracy Firgens,F,SBD,FR-O,84,Raw,1974,WI,73.2,77.5,85,92.5,92.5,45,50,-52.5,50,102.5,112.5,125,125,267.5,,
2,Elizabeth Hoeksema,F,SBD,FR-O,84,Raw,1996,MI,82.9,95,102.5,-112.5,102.5,50,55,-57.5,55,90,97.5,102.5,102.5,260,,
1,Sara Milanowski,F,SBD,FR-O,84+,Raw,1989,WI,100.5,137.5,147.5,155,155,80,85,-90,85,165,-180,-180,165,405,,
1,Jacob Werner,M,SBD,M-O,93,Single-ply,1994,WI,89.2,182.5,195,202.5,202.5,107.5,112.5,-117.5,112.5,205,225,232.5,232.5,547.5,,
1,Michael Sauerzopf,M,SBD,MR-O,74,Raw,1986,WI,72.8,142.5,152.5,165,165,-118.5,125,-132.5,125,182.5,195,-205,195,485,,
1,Mason Cabney,M,SBD,MR-O,83,Raw,1998,IA,81.3,255,267.5,277.5,277.5,150,160,165,165,287.5,302.5,310,310,752.5,,
2,Trevor Hofstetter,M,SBD,MR-O,83,Raw,1988,WI,80.3,197.5,207.5,217.5,217.5,137.5,145,152.5,152.5,240,252.5,265,265,635,,
3,Robin De Castro,M,SBD,MR-O,83,Raw,1997,MN,80.9,172.5,185,197.5,197.5,127.5,140,145,145,212.5,232.5,245,245,587.5,,
4,Matthew Chrudimsky,M,SBD,MR-O,83,Raw,1985,WI,81.3,160,172.5,-182.5,172.5,82.5,87.5,-92.5,87.5,185,200,-212.5,200,460,,
DQ,Jeffrey Oseguera,M,SBD,MR-O,83,Raw,1993,WI,81.1,-127.5,-127.5,-140,,90,97.5,-105,97.5,165,175,-185,175,,,
1,Zachery Vallafskey,M,SBD,MR-O,93,Raw,1993,WI,92,200,215,-225,215,-140,140,-145,140,240,-255,,240,595,,
2,Grant Ivarson,M,SBD,MR-O,93,Raw,2002,WI,91.6,195,202.5,207.5,207.5,132.5,-140,,132.5,212.5,220,227.5,227.5,567.5,,
3,Erik Knutson,M,SBD,MR-O,93,Raw,1983,WI,89.4,172.5,-180,180,180,122.5,-132.5,132.5,132.5,220,230,-235,230,542.5,,
4,Justin Kramer,M,SBD,MR-O,93,Raw,1987,WI,89.5,170,175,185,185,130,-135,-135,130,205,215,-220,215,530,,
DQ,Zachary West,M,SBD,MR-O,93,Raw,1994,WI,92.6,-195,195,215,215,-147.5,-147.5,147.5,147.5,-285,-285,-287.5,,,,
1,Brad Birkhauser,M,SBD,MR-O,105,Raw,1993,WI,102.6,235,250,-262.5,250,-145,-160,160,160,240,252.5,262.5,262.5,672.5,,
2,Dan Neta,M,SBD,MR-O,105,Raw,1990,WI,102.9,200,210,220,220,157.5,167.5,175,175,235,250,265,265,660,,
3,Alex Schildgen,M,SBD,MR-O,105,Raw,2000,WI,103.7,235,250,-262.5,250,145,-155,155,155,232.5,-245,245,245,650,,
4,Grant Sobieck,M,SBD,MR-O,105,Raw,1999,WI,103.5,180,192.5,205,205,135,150,-160,150,225,240,257.5,257.5,612.5,,
1,Joseph Jaskulski,M,SBD,MR-O,120,Raw,1983,WI,112.3,240,252.5,265,265,150,157.5,165,165,242.5,250,260,260,690,,
2,Brett Wannebo,M,SBD,MR-O,120,Raw,1999,WI,107.1,205,220,240,240,115,125,137.5,137.5,202.5,227.5,240,240,617.5,,
3,David Bosch,M,SBD,MR-O,120,Raw,1994,WI,117.7,195,-210,210,210,125,135,142.5,142.5,215,227.5,-240,227.5,580,,
4,Michael Foote #3,M,SBD,MR-O,120,Raw,1995,WI,119.7,185,197.5,-205,197.5,140,147.5,-155,147.5,210,220,232.5,232.5,577.5,,
5,Sam Henrichs,M,SBD,MR-O,120,Raw,2002,WI,109.1,195,210,225,225,100,110,115,115,195,202.5,210,210,550,,
6,Zander Streim,M,SBD,MR-Y,120,Raw,2006,WI,118.2,65,80,90,90,52.5,60,-67.5,60,90,100,110,110,260,,
1,Luke Klein,M,SBD,MR-O,120+,Raw,1992,WI,159.7,282.5,292.5,-300,292.5,192.5,200,-205,200,285,300,-312.5,300,792.5,,
